CPMG	%
CPMG_000.csv	0.43821752
CPMG_001.csv	0.68608063
CPMG_002.csv	0.1525948
CPMG_003.csv	0.38483134
CPMG_004.csv	0.073803246
CPMG_005.csv	0.12222675
CPMG_006.csv	0.3920088
CPMG_007.csv	0.5398094
CPMG_008.csv	0.26261917
CPMG_009.csv	0.4688295
CPMG_010.csv	0.5798071
CPMG_011.csv	0.51499325
CPMG_012.csv	0.23042302
CPMG_013.csv	0.42227432
CPMG_014.csv	0.30992723
CPMG_015.csv	0.6707504
CPMG_016.csv	0.43337792
CPMG_017.csv	0.32144174
CPMG_018.csv	0.21346836
CPMG_019.csv	0.74455357
CPMG_020.csv	0.09750374
CPMG_021.csv	0.4152089
CPMG_022.csv	0.4121228
CPMG_023.csv	0.54427564
CPMG_024.csv	0.48064917
CPMG_025.csv	0.500199
CPMG_026.csv	0.1368444
CPMG_027.csv	0.1503553
CPMG_028.csv	0.5156974
CPMG_029.csv	0.14536703
CPMG_030.csv	0.7638808
CPMG_031.csv	0.0957114
CPMG_032.csv	0.076682165
CPMG_033.csv	0.19310267
CPMG_034.csv	0.6439737
CPMG_035.csv	0.4255608
CPMG_036.csv	0.61267346
CPMG_037.csv	0.42198685
CPMG_038.csv	0.07191307
CPMG_039.csv	0.74228704
CPMG_040.csv	0.28817177
CPMG_041.csv	0.35713732
CPMG_042.csv	0.6247562
CPMG_043.csv	0.0786545
CPMG_044.csv	0.3410273
CPMG_045.csv	0.2328904
CPMG_046.csv	0.34618285
CPMG_047.csv	0.3247591
CPMG_048.csv	0.24241307
CPMG_049.csv	0.49746233
CPMG_050.csv	0.5111276
CPMG_051.csv	0.06587405
CPMG_052.csv	0.068225116
CPMG_053.csv	0.10250972
CPMG_054.csv	0.16084765
CPMG_055.csv	0.6488304
CPMG_056.csv	0.3153459
CPMG_057.csv	0.6358465
CPMG_058.csv	0.36956292
CPMG_059.csv	0.6977986
CPMG_060.csv	0.67459714
CPMG_061.csv	0.14049529
CPMG_062.csv	0.31376007
CPMG_063.csv	0.13838828
CPMG_064.csv	0.088939
CPMG_065.csv	0.69005346
CPMG_066.csv	0.2657369
CPMG_067.csv	0.48799124
CPMG_068.csv	0.27416205
CPMG_069.csv	0.54332113
CPMG_070.csv	0.54150194
CPMG_071.csv	0.25748864
CPMG_072.csv	0.3869725
CPMG_073.csv	0.36925888
CPMG_074.csv	0.26568168
CPMG_075.csv	0.5603862
CPMG_076.csv	0.25947952
CPMG_077.csv	0.44190508
CPMG_078.csv	0.46414152
CPMG_079.csv	0.60617244
CPMG_080.csv	0.45384395
CPMG_081.csv	0.45635054
CPMG_082.csv	0.3833609
CPMG_083.csv	0.40487882
CPMG_084.csv	0.13246018
CPMG_085.csv	0.3124466
CPMG_086.csv	0.19438432
CPMG_087.csv	0.38147336
CPMG_088.csv	0.42343646
CPMG_089.csv	0.57220984
CPMG_090.csv	0.48113903
CPMG_091.csv	0.16346042
CPMG_092.csv	0.38907787
CPMG_093.csv	0.49229524
CPMG_094.csv	0.57737505
CPMG_095.csv	0.21212357
CPMG_096.csv	0.20701547
CPMG_097.csv	0.23598425
CPMG_098.csv	0.19271733
CPMG_099.csv	0.61072195
CPMG_100.csv	0.21740556
CPMG_101.csv	0.22166207
CPMG_102.csv	0.32837915
CPMG_103.csv	0.2578325
CPMG_104.csv	0.46245536
CPMG_105.csv	0.18708183
CPMG_106.csv	0.22249313
CPMG_107.csv	0.4555783
CPMG_108.csv	0.5087204
CPMG_109.csv	0.5301137
CPMG_110.csv	0.31049803
CPMG_111.csv	0.665462
CPMG_112.csv	0.13114934
CPMG_113.csv	0.563377
CPMG_114.csv	0.10316996
CPMG_115.csv	0.13848087
CPMG_116.csv	0.08793115
CPMG_117.csv	0.71432894
CPMG_118.csv	0.5172151
CPMG_119.csv	0.19306947
CPMG_120.csv	0.05556797
CPMG_121.csv	0.5259546
CPMG_122.csv	0.3684001
CPMG_123.csv	0.51484007
CPMG_124.csv	0.52144593
CPMG_125.csv	0.59009343
CPMG_126.csv	0.14976436
CPMG_127.csv	0.5546234
CPMG_128.csv	0.43998337
CPMG_129.csv	0.2537027
CPMG_130.csv	0.079683125
CPMG_131.csv	0.49940938
CPMG_132.csv	0.23763691
CPMG_133.csv	0.49226582
CPMG_134.csv	0.46382064
CPMG_135.csv	0.38272002
CPMG_136.csv	0.3125185
CPMG_137.csv	0.2913502
CPMG_138.csv	0.46570003
CPMG_139.csv	0.17146802
CPMG_140.csv	0.40559366
CPMG_141.csv	0.3893663
CPMG_142.csv	0.7219814
CPMG_143.csv	0.14553398
CPMG_144.csv	0.5266798
CPMG_145.csv	0.14998913
CPMG_146.csv	0.43066695
CPMG_147.csv	0.70759934
CPMG_148.csv	0.32150456
CPMG_149.csv	0.39088443
CPMG_150.csv	0.19694878
CPMG_151.csv	0.3501497
CPMG_152.csv	0.17872338
CPMG_153.csv	0.027046615
CPMG_154.csv	0.5839165
CPMG_155.csv	0.18078814
CPMG_156.csv	0.45006663
CPMG_157.csv	0.54582936
CPMG_158.csv	0.6242771
CPMG_159.csv	0.59774333
CPMG_160.csv	0.5012318
CPMG_161.csv	0.1177306
CPMG_162.csv	0.54451567
CPMG_163.csv	0.3684332
CPMG_164.csv	0.6135703
CPMG_165.csv	0.32383895
CPMG_166.csv	0.42533448
CPMG_167.csv	0.21179502
CPMG_168.csv	0.20327404
CPMG_169.csv	0.10176036
CPMG_170.csv	0.7913741
CPMG_171.csv	0.06945791
CPMG_172.csv	0.20068233
CPMG_173.csv	0.58911026
CPMG_174.csv	0.5807268
CPMG_175.csv	0.58804816
CPMG_176.csv	0.62965226
CPMG_177.csv	0.81504714
CPMG_178.csv	0.077663235
CPMG_179.csv	0.66108495
CPMG_180.csv	0.30103952
CPMG_181.csv	0.6999531
CPMG_182.csv	0.3070192
CPMG_183.csv	0.653311
CPMG_184.csv	0.42377946
CPMG_185.csv	0.38976702
CPMG_186.csv	0.39987966
CPMG_187.csv	0.44172904
CPMG_188.csv	0.62036943
CPMG_189.csv	0.4982241
CPMG_190.csv	0.13517113
CPMG_191.csv	0.62955916
CPMG_192.csv	0.33686447
CPMG_193.csv	0.7494225
CPMG_194.csv	0.6124691
CPMG_195.csv	0.5390105
CPMG_196.csv	0.7401028
CPMG_197.csv	0.15621987
CPMG_198.csv	0.6262396
CPMG_199.csv	0.113317676
CPMG_200.csv	0.32769668
CPMG_201.csv	0.17863551
CPMG_202.csv	0.16856442
CPMG_203.csv	0.7857622
CPMG_204.csv	0.76843446
CPMG_205.csv	0.1826635
CPMG_206.csv	0.52995163
CPMG_207.csv	0.50297195
CPMG_208.csv	0.40909094
CPMG_209.csv	0.5468174
CPMG_210.csv	0.28156164
CPMG_211.csv	0.52922684
CPMG_212.csv	0.3938782
CPMG_213.csv	0.0784575
CPMG_214.csv	0.2701593
CPMG_215.csv	0.037502546
CPMG_216.csv	0.58027667
CPMG_217.csv	0.48585752
CPMG_218.csv	0.46278566
CPMG_219.csv	0.082913496
CPMG_220.csv	0.07202231
CPMG_221.csv	0.42851582
CPMG_222.csv	0.18609358
CPMG_223.csv	0.541596
CPMG_224.csv	0.39799926
CPMG_225.csv	0.33511332
CPMG_226.csv	0.4366518
CPMG_227.csv	0.39656854
CPMG_228.csv	0.44141313
CPMG_229.csv	0.41312602
CPMG_230.csv	0.5376502
CPMG_231.csv	0.19977021
CPMG_232.csv	0.50427175
CPMG_233.csv	0.054368075
CPMG_234.csv	0.50382286
CPMG_235.csv	0.5610367
CPMG_236.csv	0.56603575
CPMG_237.csv	0.5654031
CPMG_238.csv	0.1721988
CPMG_239.csv	0.3465389
CPMG_240.csv	0.46613148
CPMG_241.csv	0.53244084
CPMG_242.csv	0.53301173
CPMG_243.csv	0.4518202
CPMG_244.csv	0.21508434
CPMG_245.csv	0.41592887
CPMG_246.csv	0.09173778
CPMG_247.csv	0.27794376
CPMG_248.csv	0.3617772
CPMG_249.csv	0.36647186
CPMG_250.csv	0.096449
CPMG_251.csv	0.19523697
CPMG_252.csv	0.07191938
CPMG_253.csv	0.36953145
CPMG_254.csv	0.435883
CPMG_255.csv	0.42156127
CPMG_256.csv	0.25612137
CPMG_257.csv	0.035587832
CPMG_258.csv	0.1977405
CPMG_259.csv	0.6597957
CPMG_260.csv	0.7238135
CPMG_261.csv	0.75048804
CPMG_262.csv	0.49104965
CPMG_263.csv	0.34039897
CPMG_264.csv	0.1630079
CPMG_265.csv	0.4723026
CPMG_266.csv	0.68131524
CPMG_267.csv	0.3800469
CPMG_268.csv	0.5998255
CPMG_269.csv	0.30981904
CPMG_270.csv	0.4539561
CPMG_271.csv	0.22398962
CPMG_272.csv	0.5454647
CPMG_273.csv	0.29911697
CPMG_274.csv	0.1420719
CPMG_275.csv	0.32223943
CPMG_276.csv	0.73123187
CPMG_277.csv	0.5234739
CPMG_278.csv	0.6550013
CPMG_279.csv	0.15037727
CPMG_280.csv	0.0982623
CPMG_281.csv	0.3519429
CPMG_282.csv	0.39890322
CPMG_283.csv	0.5912476
CPMG_284.csv	0.14178844
CPMG_285.csv	0.5774335
CPMG_286.csv	0.05762546
CPMG_287.csv	0.24601123
CPMG_288.csv	0.21073405
CPMG_289.csv	0.4008595
CPMG_290.csv	0.4005409
CPMG_291.csv	0.7409656
CPMG_292.csv	0.35167462
CPMG_293.csv	0.48906937
CPMG_294.csv	0.5064558
CPMG_295.csv	0.5643633
CPMG_296.csv	0.0726089
CPMG_297.csv	0.5461067
CPMG_298.csv	0.09088036
CPMG_299.csv	0.42566812
CPMG_300.csv	0.3018969
CPMG_301.csv	0.08452037
CPMG_302.csv	0.48800892
CPMG_303.csv	0.26123324
CPMG_304.csv	0.17823033
CPMG_305.csv	0.4072702
CPMG_306.csv	0.2679752
CPMG_307.csv	0.37933803
CPMG_308.csv	0.45952412
CPMG_309.csv	0.189818
CPMG_310.csv	0.4757927
CPMG_311.csv	0.16604891
CPMG_312.csv	0.587465
CPMG_313.csv	0.17194697
CPMG_314.csv	0.41743007
CPMG_315.csv	0.32338983
CPMG_316.csv	0.17339061
CPMG_317.csv	0.47337857
CPMG_318.csv	0.08387208
CPMG_319.csv	0.680994
CPMG_320.csv	0.52442557
CPMG_321.csv	0.4331971
CPMG_322.csv	0.2555107
CPMG_323.csv	0.31352997
CPMG_324.csv	0.2535924
CPMG_325.csv	0.102258794
CPMG_326.csv	0.6365528
CPMG_327.csv	0.49708495
CPMG_328.csv	0.6815207
CPMG_329.csv	0.63338965
CPMG_330.csv	0.62703556
CPMG_331.csv	0.6801462
CPMG_332.csv	0.096621856
CPMG_333.csv	0.62144965
CPMG_334.csv	0.5576806
CPMG_335.csv	0.35553148
CPMG_336.csv	0.2947881
CPMG_337.csv	0.13289152
CPMG_338.csv	0.42774984
CPMG_339.csv	0.22425717
CPMG_340.csv	0.6221445
CPMG_341.csv	0.4460906
CPMG_342.csv	0.6757863
CPMG_343.csv	0.49454528
CPMG_344.csv	0.6558474
CPMG_345.csv	0.47181287
CPMG_346.csv	0.39027172
